study_id,suite_sha256,point_id,status,tier,declared_parameters,actual_parameters,tokens_per_parameter,planned_train_tokens,actual_train_tokens,batch_size,sequence_length,planned_steps,base_learning_rate,effective_global_peak_lr,effective_hidden_peak_lr,width_multiplier,depth_multiplier,data_multiplier,seed,run_id,validation_loss,validation_perplexity,train_seconds,tokens_per_second,training_steps,dataset_name,dataset_manifest_sha256,config_sha256,result_sha256,error
complete-d-p-lr-v1,f7fd81fc9a5e787171270dee2c8661a1b9e9cc3bd4d76b268b9422cdb50a79a4,60m-lr00-s1337,pending,60m,59918208,,5,299630592,,128,1024,2286,0.0004,,,,,,1337,,,,,,,,,,,
complete-d-p-lr-v1,f7fd81fc9a5e787171270dee2c8661a1b9e9cc3bd4d76b268b9422cdb50a79a4,60m-lr01-s1337,pending,60m,59918208,,5,299630592,,128,1024,2286,0.000565685424949,,,,,,1337,,,,,,,,,,,
complete-d-p-lr-v1,f7fd81fc9a5e787171270dee2c8661a1b9e9cc3bd4d76b268b9422cdb50a79a4,60m-lr02-s1337,pending,60m,59918208,,5,299630592,,128,1024,2286,0.0008,,,,,,1337,,,,,,,,,,,
complete-d-p-lr-v1,f7fd81fc9a5e787171270dee2c8661a1b9e9cc3bd4d76b268b9422cdb50a79a4,60m-lr03-s1337,pending,60m,59918208,,5,299630592,,128,1024,2286,0.0011313708499,,,,,,1337,,,,,,,,,,,
complete-d-p-lr-v1,f7fd81fc9a5e787171270dee2c8661a1b9e9cc3bd4d76b268b9422cdb50a79a4,60m-lr04-s1337,pending,60m,59918208,,5,299630592,,128,1024,2286,0.0016,,,,,,1337,,,,,,,,,,,
complete-d-p-lr-v1,f7fd81fc9a5e787171270dee2c8661a1b9e9cc3bd4d76b268b9422cdb50a79a4,60m-lr05-s1337,pending,60m,59918208,,5,299630592,,128,1024,2286,0.0022627416998,,,,,,1337,,,,,,,,,,,
complete-d-p-lr-v1,f7fd81fc9a5e787171270dee2c8661a1b9e9cc3bd4d76b268b9422cdb50a79a4,60m-lr06-s1337,pending,60m,59918208,,5,299630592,,128,1024,2286,0.0032,,,,,,1337,,,,,,,,,,,
complete-d-p-lr-v1,f7fd81fc9a5e787171270dee2c8661a1b9e9cc3bd4d76b268b9422cdb50a79a4,125m-lr00-s1337,pending,125m,123456640,,5,617218048,,128,1024,4709,0.0004,,,,,,1337,,,,,,,,,,,
complete-d-p-lr-v1,f7fd81fc9a5e787171270dee2c8661a1b9e9cc3bd4d76b268b9422cdb50a79a4,125m-lr01-s1337,pending,125m,123456640,,5,617218048,,128,1024,4709,0.000565685424949,,,,,,1337,,,,,,,,,,,
complete-d-p-lr-v1,f7fd81fc9a5e787171270dee2c8661a1b9e9cc3bd4d76b268b9422cdb50a79a4,125m-lr02-s1337,pending,125m,123456640,,5,617218048,,128,1024,4709,0.0008,,,,,,1337,,,,,,,,,,,
complete-d-p-lr-v1,f7fd81fc9a5e787171270dee2c8661a1b9e9cc3bd4d76b268b9422cdb50a79a4,125m-lr03-s1337,pending,125m,123456640,,5,617218048,,128,1024,4709,0.0011313708499,,,,,,1337,,,,,,,,,,,
complete-d-p-lr-v1,f7fd81fc9a5e787171270dee2c8661a1b9e9cc3bd4d76b268b9422cdb50a79a4,125m-lr04-s1337,pending,125m,123456640,,5,617218048,,128,1024,4709,0.0016,,,,,,1337,,,,,,,,,,,
complete-d-p-lr-v1,f7fd81fc9a5e787171270dee2c8661a1b9e9cc3bd4d76b268b9422cdb50a79a4,125m-lr05-s1337,pending,125m,123456640,,5,617218048,,128,1024,4709,0.0022627416998,,,,,,1337,,,,,,,,,,,
complete-d-p-lr-v1,f7fd81fc9a5e787171270dee2c8661a1b9e9cc3bd4d76b268b9422cdb50a79a4,125m-lr06-s1337,pending,125m,123456640,,5,617218048,,128,1024,4709,0.0032,,,,,,1337,,,,,,,,,,,
complete-d-p-lr-v1,f7fd81fc9a5e787171270dee2c8661a1b9e9cc3bd4d76b268b9422cdb50a79a4,250m-lr00-s1337,pending,250m,244444032,,5,1222246400,,128,1024,9325,0.0004,,,,,,1337,,,,,,,,,,,
complete-d-p-lr-v1,f7fd81fc9a5e787171270dee2c8661a1b9e9cc3bd4d76b268b9422cdb50a79a4,250m-lr01-s1337,pending,250m,244444032,,5,1222246400,,128,1024,9325,0.000565685424949,,,,,,1337,,,,,,,,,,,
complete-d-p-lr-v1,f7fd81fc9a5e787171270dee2c8661a1b9e9cc3bd4d76b268b9422cdb50a79a4,250m-lr02-s1337,pending,250m,244444032,,5,1222246400,,128,1024,9325,0.0008,,,,,,1337,,,,,,,,,,,
